id,x,y,V,eV,BV,eBV,UB,eUB,VI,eVI
12233,2471.13,2962.02,19.549,0.026,1.09,0.044,nan,nan,1.781,0.031
12234,79.817,1917.02,19.561,0.054,0.882,0.068,nan,nan,1.887,0.065
12235,1284.71,3021.99,19.689,0.037,1.007,0.054,nan,nan,1.992,0.04
12236,505.342,2853.21,19.502,0.047,0.829,0.059,0.38,0.083,1.636,0.054
12237,3757.43,2027.2,19.471,0.023,1.048,0.034,nan,nan,1.713,0.03
12238,1894.19,1267.67,19.503,0.041,0.921,0.055,0.571,0.106,1.695,0.046
12239,1198.73,2386.67,19.452,0.043,0.925,0.068,nan,nan,1.507,0.054
12240,1320.7,3193.97,19.545,0.034,1.205,0.049,nan,nan,1.862,0.038
12242,2003.25,50.719,19.514,0.047,1.497,0.073,nan,nan,2.004,0.056
12243,391.907,2242.41,19.552,0.046,0.973,0.06,nan,nan,1.912,0.055
12244,898.267,3248.25,19.5,0.051,0.95,0.063,nan,nan,1.686,0.054
12246,3704.86,2555.01,19.466,0.024,1.047,0.034,nan,nan,1.697,0.03
12247,1185.39,3954.32,19.898,0.043,1.382,0.067,nan,nan,2.257,0.045
12249,927.298,592.372,19.494,0.04,0.87,0.054,0.229,0.097,1.614,0.05
12251,1067.18,1884.01,19.456,0.048,0.914,0.062,0.573,0.085,1.684,0.058
12252,2556.8,74.257,19.512,0.039,0.939,0.059,0.181,0.1,1.692,0.048
12253,1853.33,1971.38,19.6,0.037,0.709,0.045,0.466,0.092,1.709,0.042
12254,2551.79,2844.55,19.491,0.025,0.787,0.037,0.176,0.066,1.451,0.033
12255,2939.29,2117.49,19.431,0.032,1.001,0.044,0.517,0.136,1.591,0.043
12256,245.498,3093.79,19.672,0.092,0.926,0.106,nan,nan,1.937,0.091
12257,1257.77,1707.26,19.555,0.04,0.96,0.056,nan,nan,1.867,0.05
12259,1969.45,948.292,20.1,0.048,0.502,0.065,nan,nan,2.669,0.055
12261,760.278,2171.27,19.453,0.041,0.974,0.055,0.51,0.125,1.66,0.053
12262,1034.98,1660.77,19.547,0.049,1.012,0.068,0.318,0.103,1.888,0.056
12263,2833.9,2779.47,19.486,0.027,0.807,0.038,0.227,0.082,1.468,0.034
12264,3050.6,1267.3,19.44,0.034,1.036,0.046,0.195,0.072,1.631,0.039
12265,3826.49,1537.17,19.514,0.023,0.921,0.042,nan,nan,1.622,0.029
12266,1882.79,1804.23,19.528,0.038,0.803,0.049,0.383,0.095,1.628,0.043
12267,543.654,1597.69,20.188,0.051,-0.288,0.066,nan,nan,2.129,0.059
12268,1615.74,3785.32,19.5,0.034,1.171,0.06,nan,nan,1.681,0.04
12269,3967.17,3382.48,19.808,0.027,1.4,0.053,nan,nan,2.32,0.032
12271,2147.64,3178.7,19.634,0.065,1.276,0.095,nan,nan,2.42,0.083
12272,3732.54,2183.12,19.456,0.044,0.951,0.094,nan,nan,1.519,0.05
12273,1273.43,1542.66,19.547,0.047,0.926,0.062,0.321,0.115,1.764,0.052
12274,2035.75,394.208,19.487,0.044,1.118,0.064,0.292,0.123,1.815,0.053
12275,279.063,2428.49,19.511,0.044,0.85,0.057,0.373,0.091,1.654,0.052
12276,436.888,2858.76,19.616,0.044,1.062,0.06,nan,nan,2.034,0.05
12277,2804.52,302.229,19.449,0.036,1.2,0.058,nan,nan,1.733,0.05
12278,2509.69,3025.5,19.499,0.027,0.768,0.037,0.283,0.087,1.457,0.034
12279,3596.64,3991.45,19.476,0.026,0.793,0.037,0.141,0.076,1.413,0.033
