id,x,y,V,eV,BV,eBV,UB,eUB,VI,eVI
2785,3425.94,1684.45,17.485,0.024,0.841,0.032,0.218,0.034,1.401,0.033
2786,539.841,2523.69,17.272,0.031,1.029,0.049,0.51,0.056,1.33,0.036
2787,2929.56,1957.93,17.468,0.026,0.801,0.035,0.341,0.041,1.272,0.036
2788,707.78,1285.34,17.348,0.043,0.965,0.061,0.536,0.062,1.491,0.045
2790,1025.41,1536.31,17.36,0.037,1.94,0.054,0.579,0.075,1.873,0.039
2791,858.733,3845.35,17.24,0.035,1.358,0.047,0.356,0.044,1.643,0.039
2793,1117.44,2453.64,17.335,0.022,1.103,0.034,0.462,0.049,1.464,0.029
2794,1861.17,1406.93,17.329,0.031,1.216,0.052,0.663,0.072,1.701,0.044
2795,1361.02,3095.21,17.235,0.027,0.94,0.038,0.629,0.044,1.191,0.03
2796,145.837,157.858,17.248,0.04,1.203,0.058,0.101,0.062,1.21,0.051
2797,1268.51,2209.01,17.384,0.025,0.863,0.036,0.499,0.049,1.234,0.034
2798,3817.63,2173.92,17.449,0.022,0.795,0.037,0.342,0.049,1.299,0.034
2799,2299.4,528.561,17.34,0.034,1.014,0.052,0.387,0.058,1.386,0.044
2800,812.28,494.085,17.228,0.042,1.485,0.063,1.234,0.083,1.843,0.051
2802,3189.91,3157.05,17.358,0.016,1.051,0.026,0.243,0.035,1.316,0.025
2803,150.337,1687.06,17.201,0.033,1.243,0.074,1.341,0.1,1.378,0.041
2805,294.657,4.361,16.957,0.042,1.78,0.057,0.407,0.055,1.709,0.052
2806,4072.33,3464.47,17.363,0.018,1.111,0.033,0.028,0.049,1.274,0.03
2808,2424.28,1876.27,17.366,0.024,0.888,0.037,0.491,0.054,1.225,0.033
2809,2752.41,473.673,17.454,0.033,0.803,0.051,0.156,0.059,1.284,0.042
2810,2444.12,3030.38,17.461,0.018,0.734,0.029,0.436,0.041,1.024,0.032
2811,621.919,1731.57,17.389,0.032,1.344,0.053,0.741,0.061,1.846,0.036
2812,789.036,883.769,16.891,0.041,1.575,0.058,1.044,0.068,nan,nan
2813,3859.37,1776.65,17.418,0.021,1.027,0.034,0.216,0.043,1.523,0.032
2814,1652.57,1003.89,17.397,0.037,0.849,0.048,0.342,0.049,1.29,0.042
2815,2736.94,3452.87,17.293,0.022,1.284,0.031,0.511,0.052,1.652,0.032
2816,2449.09,3038.42,17.435,0.016,0.807,0.027,0.417,0.041,1.21,0.026
