radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
115.676967,0.606,-28.280135,0.314,16.959,0.197,1,17.255,0.181,1,NA,NA,0,17.015,0.091,4,16.26,0.08,4,15.67,0.174,3,NA,NA,0,NA,NA,0
115.677397,0.365,-28.493326,0.26,14.279,0.021,1,15.269,0.041,1,NA,NA,0,14.807,0.02,1,14.041,0.016,1,13.795,0.03,1,NA,NA,0,NA,NA,0
115.677645,0.229,-28.261609,0.169,15.251,0.065,5,16.853,0.156,5,NA,NA,0,16.007,0.075,5,14.692,0.011,5,14.097,0.081,5,NA,NA,0,NA,NA,0
115.678241,0.257,-28.417544,0.254,16.503,0.129,1,17.736,0.282,1,NA,NA,0,17.324,0.16,5,16.021,0.081,5,15.367,0.12,5,NA,NA,0,NA,NA,0
115.678415,0.329,-28.241817,0.259,16.523,0.103,5,17.2,0.205,5,NA,NA,0,16.714,0.086,5,16.341,0.034,5,16.257,0.116,2,NA,NA,0,NA,NA,0
115.678534,0.307,-28.302957,0.493,NA,NA,0,NA,NA,0,NA,NA,0,17.395,0.134,4,16.167,0.077,4,15.73,0.125,3,NA,NA,0,NA,NA,0
115.678552,0.315,-28.48742,0.422,NA,NA,0,NA,NA,0,NA,NA,0,17.574,0.102,3,16.26,0.026,3,15.813,0.169,3,NA,NA,0,NA,NA,0
115.679108,0.364,-28.528349,0.316,16.135,0.048,4,17.214,0.127,4,NA,NA,0,16.669,0.068,5,15.883,0.067,5,15.577,0.075,5,NA,NA,0,NA,NA,0
115.679111,0.391,-28.453968,0.234,14.553,0.06,5,15.989,0.07,5,NA,NA,0,15.2,0.037,5,14.056,0.014,5,13.529,0.052,5,13.441,0.193,2,NA,NA,0
115.679256,0.392,-28.255392,0.596,15.914,0.131,4,16.707,0.08,4,NA,NA,0,16.313,0.017,5,15.581,0.055,5,15.207,0.143,4,NA,NA,0,NA,NA,0
115.679739,0.375,-28.363144,0.233,16.356,0.112,1,17.61,0.253,1,NA,NA,0,16.808,0.092,5,15.924,0.056,5,15.441,0.131,5,NA,NA,0,NA,NA,0
115.679817,0.351,-28.552304,0.289,13.614,0.089,3,14.175,0.025,3,NA,NA,0,13.825,0.012,4,13.428,0.04,4,13.305,0.039,3,13.17,0.13,1,NA,NA,0
115.680987,0.23,-28.31727,0.313,15.682,0.08,5,16.419,0.034,5,NA,NA,0,15.972,0.061,5,15.422,0.034,5,15.273,0.08,5,NA,NA,0,NA,NA,0
115.681018,0.299,-28.274887,0.319,16.346,0.038,5,16.83,0.117,5,NA,NA,0,16.457,0.065,5,16.234,0.088,5,16.159,0.11,4,NA,NA,0,NA,NA,0
115.681353,0.461,-28.478228,0.294,17.181,0.248,1,17.728,0.284,1,NA,NA,0,17.631,0.072,3,16.867,0.131,3,16.427,0.262,1,NA,NA,0,NA,NA,0
115.681429,0.528,-28.356063,0.402,NA,NA,0,NA,NA,0,NA,NA,0,17.438,0.063,5,16.163,0.082,5,15.374,0.122,5,NA,NA,0,NA,NA,0
115.681658,0.213,-28.19137,0.243,14.518,0.075,5,15.212,0.044,5,NA,NA,0,14.802,0.039,5,14.308,0.033,5,14.07,0.054,5,14.029,0.289,1,NA,NA,0
115.68177,0.235,-28.570064,0.231,15.973,0.085,5,16.385,0.143,5,NA,NA,0,16.112,0.052,6,15.867,0.05,6,15.826,0.119,4,NA,NA,0,NA,NA,0
115.681815,0.275,-28.21118,0.171,14.805,0.065,5,15.423,0.099,5,NA,NA,0,15.069,0.035,5,14.631,0.022,5,14.389,0.045,5,NA,NA,0,NA,NA,0
115.682279,0.807,-28.383234,0.052,NA,NA,0,NA,NA,0,NA,NA,0,17.907,0.181,1,17.192,0.182,1,NA,NA,0,NA,NA,0,NA,NA,0
115.6827,0.453,-28.522439,0.256,NA,NA,0,NA,NA,0,NA,NA,0,18.244,0.222,1,17.416,0.229,1,NA,NA,0,NA,NA,0,NA,NA,0
115.68299,0.358,-28.332703,0.226,15.507,0.074,5,16.275,0.1,5,NA,NA,0,15.807,0.058,5,15.304,0.03,5,15.157,0.14,5,NA,NA,0,NA,NA,0
115.683156,0.419,-28.555045,0.415,11.756,0.068,5,12.035,0.045,5,NA,NA,0,11.811,0.03,6,11.75,0.02,6,11.77,0.037,5,11.822,0.139,2,NA,NA,0
115.683275,0.686,-28.509079,0.292,NA,NA,0,NA,NA,0,NA,NA,0,17.904,0.125,3,16.632,0.007,3,16.008,0.009,3,NA,NA,0,NA,NA,0
115.684415,0.496,-28.432844,0.272,15.043,0.036,5,16.949,0.111,5,NA,NA,0,15.955,0.043,5,14.312,0.034,5,13.494,0.073,5,13.154,0.031,2,NA,NA,0
115.684979,0.714,-28.26417,0.253,NA,NA,0,NA,NA,0,NA,NA,0,17.479,0.033,2,16.681,0.198,2,16.296,0.24,1,NA,NA,0,NA,NA,0
115.685589,0.253,-28.364552,0.205,15.441,0.081,5,16.129,0.086,5,NA,NA,0,15.733,0.031,5,15.216,0.011,5,14.922,0.082,5,NA,NA,0,NA,NA,0
115.685654,0.322,-28.297443,0.274,14.637,0.068,5,15.976,0.1,5,NA,NA,0,15.257,0.069,5,14.144,0.015,5,13.603,0.048,5,13.327,0.168,2,NA,NA,0
115.686466,0.55,-28.28033,0.329,NA,NA,0,NA,NA,0,NA,NA,0,17.612,0.076,3,16.969,0.022,3,NA,NA,0,NA,NA,0,NA,NA,0
115.687095,0.342,-28.220961,0.415,15.941,0.08,2,17.448,0.066,2,NA,NA,0,16.739,0.1,5,15.32,0.043,5,14.64,0.07,5,NA,NA,0,NA,NA,0
115.68725,0.3,-28.215754,0.811,14.683,0.074,5,15.37,0.043,5,NA,NA,0,14.977,0.032,4,14.479,0.013,4,14.304,0.06,4,NA,NA,0,NA,NA,0
115.687568,0.389,-28.340769,0.281,16.349,0.143,5,17.064,0.042,5,NA,NA,0,16.643,0.018,5,16.09,0.051,5,15.812,0.217,4,NA,NA,0,NA,NA,0
115.688033,0.361,-28.566693,0.204,12.877,0.03,4,13.294,0.042,4,NA,NA,0,13.037,0.014,5,12.812,0.017,5,12.774,0.012,3,13.043,0.272,2,NA,NA,0
115.688253,0.283,-28.253231,0.319,15.94,0.137,5,17.193,0.069,5,NA,NA,0,16.478,0.015,5,15.54,0.05,5,15.066,0.06,5,NA,NA,0,NA,NA,0
