EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,V,eV,BV,eBV,UB,eUB,VI,eVI
Gaia EDR3 5597781308123249280,-0.019449,-0.166559,119.69940863362,-28.74129074692,0.3642,0.0515,-1.66,0.043,1.723,0.047,16.832527,0.002801,1.144487,0.0072996529369552905,17.107,0.009,0.864,0.015,0.303,0.016,1.013,0.018
Gaia EDR3 5597791650394710784,0.131152,0.08258,119.87081602081,-28.49207146267,0.4874,0.0486,-2.205,0.041,2.827,0.047,16.877695,0.002818,1.138689,0.011144361982634987,17.107,0.013,0.89,0.018,0.348,0.017,1.003,0.022
Gaia EDR3 5597783094829540224,0.054667,-0.115004,119.78390779347,-28.68972281957,0.697,0.0594,-3.955,0.048,7.567,0.064,16.789581,0.002838,1.20859,0.00654574686342208,17.109,0.008,0.96,0.014,0.922,0.015,1.083,0.013
Gaia EDR3 5597781205044046976,-0.037466,-0.171182,119.67885806966,-28.74590814266,-0.0805,0.0521,-1.406,0.043,2.323,0.049,16.49307,0.002839,1.834015,0.007266064271667296,17.109,0.008,1.471,0.013,0.875,0.021,1.708,0.018
Gaia EDR3 5597781170684313856,-0.03687,-0.18575,119.67953131488,-28.76047698415,0.2869,0.3717,-1.596,0.437,2.506,0.27,19.348822,0.004112,,,17.11,0.01,0.912,0.014,0.695,0.015,0.994,0.019
Gaia EDR3 5597769346623242880,0.055541,-0.203982,119.78495763378,-28.77870011732,0.0782,0.0703,-2.003,0.058,1.3,0.071,16.774689,0.002918,1.292086,0.007883228906989826,17.11,0.01,0.982,0.018,0.425,0.02,1.184,0.019
Gaia EDR3 5597783885095035136,0.101413,-0.055079,119.83713006492,-28.62976372518,,,,,,,18.276148,0.005563,,,17.111,0.01,0.936,0.014,0.405,0.013,1.111,0.014
Gaia EDR3 5597409673193665792,-0.183843,-0.162934,119.51192339939,-28.73750592454,0.4197,0.0512,-3.275,0.043,2.743,0.05,16.861134,0.002797,1.110567,0.006267975909334688,17.111,0.011,0.898,0.015,0.381,0.013,0.96,0.017
Gaia EDR3 5597797251041249024,0.173155,0.220541,119.91834993362,-28.35405035025,-0.0333,0.0605,-1.474,0.05,1.756,0.06,16.940147,0.002827,0.87446,0.0137650370141166,17.111,0.01,0.693,0.019,0.327,0.02,0.75,0.021
Gaia EDR3 5597789313941792640,0.008269,0.078261,119.73099908023,-28.49647158697,1.2847,0.0459,-4.03,0.039,7.101,0.046,16.599342,0.002792,1.560539,0.007926665124754546,17.111,0.012,1.254,0.018,1.409,0.027,1.419,0.014
Gaia EDR3 5597767220630288768,0.237734,-0.190276,119.99278871165,-28.76473975454,0.2257,0.0496,-1.505,0.044,2.613,0.05,16.741104,0.002807,1.204195,0.00897375378534535,17.112,0.017,0.864,0.031,0.323,0.036,1.137,0.021
Gaia EDR3 5597780208611274496,0.245389,0.045314,120.00089424046,-28.52913374152,0.1184,0.0525,-4.151,0.046,3.244,0.054,16.795061,0.0028,1.244881,0.006735092055792556,17.113,0.01,0.974,0.016,0.349,0.018,1.106,0.02
Gaia EDR3 5597788661106789248,-0.027755,0.017385,119.68999078462,-28.55734458817,0.1333,0.052,-2.472,0.046,3.018,0.05,16.932615,0.002805,0.887457,0.007650073006187588,17.113,0.012,0.614,0.019,0.255,0.021,0.797,0.019
Gaia EDR3 5597767186270562816,0.224708,-0.19224,119.97793369744,-28.76673228008,0.1651,0.0512,-2.129,0.045,2.774,0.053,16.877548,0.00282,0.858664,0.00745381848450846,17.113,0.015,0.622,0.028,0.416,0.035,0.827,0.023
Gaia EDR3 5597785912328139392,-0.026628,-0.068895,119.69124859027,-28.64362525324,0.6059,0.0524,-3.201,0.044,4.832,0.046,16.824137,0.002806,1.139971,0.00687727460553961,17.114,0.008,0.966,0.013,0.603,0.015,0.993,0.01
Gaia EDR3 5597769557092681216,0.046546,-0.202939,119.77469455639,-28.77766231361,0.4762,0.0579,-2.018,0.047,2.591,0.058,16.843727,0.002909,1.212898,0.030354786278279082,17.114,0.014,0.903,0.02,0.372,0.021,1.04,0.028
Gaia EDR3 5600798264948960384,-0.034135,0.160687,119.68278009184,-28.41404084116,0.3112,0.05,-1.769,0.044,2.528,0.052,16.82757,0.002806,1.120516,0.007819795649503893,17.115,0.009,0.83,0.014,0.303,0.015,0.993,0.014
Gaia EDR3 5597788729826268544,-0.038539,0.021901,119.67771512819,-28.55282469769,0.2101,0.05,-2.445,0.044,2.914,0.048,16.940351,0.002806,0.856194,0.006999566343710159,17.115,0.013,0.595,0.02,0.252,0.02,0.758,0.019
Gaia EDR3 5597411253741456896,-0.169039,-0.086695,119.52894666197,-28.66129243494,0.3005,0.0534,-1.908,0.043,1.851,0.054,16.805946,0.002806,1.257629,0.007493631029080629,17.116,0.008,1.009,0.012,0.592,0.015,1.13,0.015
Gaia EDR3 5597796907443863424,0.195451,0.186958,119.94375652947,-28.38759410861,0.9435,0.05,-3.949,0.04,6.311,0.05,16.822857,0.002813,1.243954,0.007404948142964946,17.116,0.01,1.12,0.017,0.933,0.021,1.075,0.018
Gaia EDR3 5597789863697846912,0.156578,-0.002556,119.89989006343,-28.57717302131,1.9224,0.0423,-28.5,0.036,15.638,0.044,16.413458,0.002801,1.81004,0.007707331574546407,17.117,0.011,1.387,0.017,1.235,0.023,1.719,0.015
Gaia EDR3 5597410875784335488,-0.154779,-0.113643,119.54515287305,-28.68826195264,0.1819,0.0571,-2.717,0.049,2.682,0.055,16.916056,0.002837,1.047136,0.01861995837804156,17.119,0.008,0.743,0.012,0.23,0.013,0.923,0.012
Gaia EDR3 5597785534363136768,-0.099266,-0.097515,119.60845057502,-28.67220145612,0.4069,0.0545,-1.652,0.047,3.19,0.051,16.894684,0.002816,0.99194,0.008074588410563105,17.12,0.007,0.742,0.011,0.142,0.011,0.847,0.017
Gaia EDR3 5600799536259203968,-0.006093,0.207957,119.71466585888,-28.36677560717,0.2551,0.0531,-1.136,0.047,2.443,0.055,16.88013,0.002814,1.042158,0.008194420357780043,17.12,0.007,0.8,0.015,0.189,0.015,0.906,0.012
Gaia EDR3 5597768251422604288,0.090587,-0.242838,119.82498097004,-28.81753234164,0.4534,0.0532,-3.418,0.045,3.382,0.055,16.845446,0.002809,1.096907,0.007122718933104128,17.12,0.011,0.813,0.023,0.178,0.027,0.984,0.018
Gaia EDR3 5597406198550889344,-0.139671,-0.224636,119.56220589048,-28.79927594638,0.3151,0.0519,-4.102,0.046,2.819,0.052,16.861298,0.002812,1.113817,0.006751928983631271,17.121,0.008,0.828,0.012,0.217,0.014,0.956,0.02
Gaia EDR3 5597405751874307200,-0.051483,-0.218623,119.66284441345,-28.79334361504,0.1754,0.0548,-2.09,0.045,2.439,0.052,16.92519,0.002808,0.924114,0.008563362949215688,17.121,0.007,0.674,0.013,0.228,0.014,0.809,0.027
