EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP V eV BV eBV UB eUB VI eVI probs_final membs_select
"Gaia EDR3 5599919823877883648" -0.039215 0.025579 116.15628739824 -28.3474467804 0.351582 0.0344 -1.787 0.028 1.734 0.033 16.013268 0.002782 0.993443 0.0056172887588230675 16.152 0.021 0.629 0.035 0.348 0.039 0.927 0.037 1.0 1
"Gaia EDR3 5599919789518161024" -0.042622 0.005861 116.15240699714 -28.36716347067 0.19301800000000002 0.0666 -1.824 0.053 1.749 0.062 17.189543 0.002838 1.261496 0.009658211532162671 17.46 0.025 0.819 0.039 0.436 0.05 1.232 0.034 1.0 1
"Gaia EDR3 5599919480280905344" -0.049584 -0.015422 116.14448329146 -28.38844316584 0.338204 0.0413 -1.774 0.036 1.732 0.041 16.29827 0.002789 1.020596 0.006717812515990603 16.467 0.024 0.651 0.035 0.421 0.039 0.995 0.033 1.0 1
"Gaia EDR3 5599913432966640256" -0.085769 -0.060495 116.10331109171 -28.43349278539 0.198673 0.0358 -1.814 0.029 1.748 0.035 16.058712 0.002784 0.94138 0.0055071557995030425 16.17 0.022 0.596 0.029 0.306 0.041 0.933 0.034 0.99 1
"Gaia EDR3 5599919789518162816" -0.04331 0.004465 116.15162444829 -28.36855913035 0.31361 0.0286 -1.763 0.024 1.793 0.027 15.52749 0.002773 0.915617 0.005451330112917397 15.686 0.022 0.531 0.034 0.207 0.034 0.923 0.035 1.0 1
"Gaia EDR3 5599918690006518272" -0.008859 -0.029976 116.19077375949 -28.40300906267 0.35022400000000004 0.0292 -1.882 0.023 1.784 0.029 15.608408 0.002774 0.932649 0.005917036842880058 15.778 0.025 0.548 0.032 0.311 0.031 0.952 0.033 1.0 1
"Gaia EDR3 5599919785213027840" -0.050935 0.009389 116.14296166884 -28.36363191447 0.23833500000000002 0.1231 -1.906 0.1 1.724 0.117 18.220047 0.003046 1.577919 0.020191825326106604 18.682 0.035 1.096 0.056 0.464 0.081 1.579 0.043 1.0 1
"Gaia EDR3 5599919926957083136" -0.007827 -0.002185 116.19194942277 -28.37521807738 0.20426699999999998 0.0393 -1.825 0.034 1.791 0.04 16.2546 0.002786 0.915463 0.005811251500322457 16.366 0.019 0.592 0.027 0.411 0.032 0.849 0.027 1.0 1
"Gaia EDR3 5599911886778442368" -0.075734 -0.128074 116.11466721931 -28.50108007027 0.246484 0.0222 -1.765 0.018 1.785 0.022 15.112428 0.002768 0.862989 0.004963515689508798 15.233 0.032 0.446 0.041 0.155 0.036 0.902 0.043 0.99 1
"Gaia EDR3 5599919583359725696" -0.035981 0.002908 116.15995248269 -28.37011840159 0.299209 0.0315 -1.747 0.027 1.762 0.031 15.846608 0.002781 0.913191 0.00542106161189854 15.99 0.023 0.578 0.033 0.28 0.035 0.879 0.033 1.0 1
"Gaia EDR3 5599913810923752320" -0.09782 -0.02298 116.08964555569 -28.39596801134 0.358152 0.0701 -1.828 0.056 1.713 0.068 17.431818 0.002852 1.346357 0.00962321547093278 17.758 0.025 0.841 0.036 0.315 0.046 1.372 0.036 0.99 1
"Gaia EDR3 5599913639126024064" -0.099635 -0.047854 116.08755620227 -28.42084034655 0.33897499999999997 0.1049 -1.836 0.082 1.812 0.1 18.079777 0.002962 1.348867 0.01781258636470291 18.381 0.028 0.903 0.043 0.236 0.065 1.367 0.04 0.99 1
"Gaia EDR3 5599918861799666560" 0.037911 -0.023453 116.24394189934 -28.39647883121 0.221267 0.0966 -1.897 0.076 1.716 0.096 17.882769 0.00293 1.418795 0.014574541399303101 18.273 0.032 0.919 0.043 0.402 0.063 1.413 0.04 1.0 1
"Gaia EDR3 5599913845283472384" -0.084846 -0.009642 116.10440663755 -28.38264136931 0.291009 0.0748 -1.913 0.059 1.792 0.069 17.51757 0.002868 1.309627 0.014892357939560813 17.805 0.025 0.892 0.041 0.29 0.051 1.303 0.037 1.0 1
"Gaia EDR3 5599871926400686336" 0.053798 -0.036139 116.26200856734 -28.40915787065 0.284096 0.0666 -1.742 0.057 1.756 0.065 17.275091 0.002847 1.250687 0.009731113194285636 17.583 0.027 0.83 0.037 0.338 0.05 1.227 0.035 1.0 1
