id x y V eV BV eBV UB eUB VI eVI ra dec d_arcsec
23812 1157.08 3970.51 20.566 0.21 0.63 0.243 "" "" -0.108 0.216 118.56421521556602 -26.721217450056365 10.1693
23831 245.627 4075.21 20.773 0.269 0.978 0.462 "" "" 1.169 0.256 118.68769865673329 -26.707654548595567 9.9397
23890 1518.1 1282.05 21.55 0.069 0.886 0.16 "" "" 2.065 0.076 118.51825684320069 -27.04654200964218 8.5128
23965 1060.32 3758.05 20.744 0.142 0.554 0.179 "" "" 0.829 0.141 118.57757362037808 -26.74680203075212 12.7811
24248 2457.74 3898.8 19.639 0.206 -0.034 0.32 "" "" -0.194 0.199 118.38791543260587 -26.731180184993775 11.5033
24395 2321.62 1030.77 22.065 0.122 1.063 0.247 "" "" 2.47 0.124 118.409573469315 -27.07771518374358 11.8593
24677 844.378 842.511 21.684 0.102 0.944 0.198 "" "" 1.944 0.106 118.61010914384715 -27.099000170869353 9.8919
24678 773.508 906.407 21.736 0.108 0.7 0.154 "" "" 2.053 0.115 118.61964840410587 -27.091206246482464 5.6432
24680 1737.97 3981.93 21.626 0.227 -0.181 0.387 "" "" 1.061 0.344 118.48542920462629 -26.720415364974606 12.3720
24741 1122.28 1861.57 21.574 0.071 1.376 0.226 "" "" 1.889 0.088 118.57128674742005 -26.97609900493156 7.8913
24776 1164.25 1132.96 21.666 0.071 0.161 0.108 "" "" 1.556 0.088 118.56640799802588 -27.064210856976015 14.8571
25085 1897.27 3992.17 21.59 0.166 0.15 0.384 "" "" 1.578 0.164 118.4638154442291 -26.719336203223353 15.3339
25142 1676.55 1409.23 22.036 0.093 -0.004 0.147 "" "" "" "" 118.49662791102247 -27.031326985812992 22.4354
22 3102.98 503.091 11.344 0.052 0.797 0.062 0.882 0.055 1.522 0.062 118.30420347048121 -27.142275773863332 0.3218
151 3330.51 3832.54 13.327 0.033 0.733 0.039 0.347 0.024 1.121 0.045 118.26963483464766 -26.740058176179165 0.9355
159 2226.38 2256.04 13.74 0.02 0.114 0.033 0.156 0.032 0.717 0.031 118.42112206157668 -26.929516974850138 2.2152
164 4004.79 709.92 13.536 0.033 0.485 0.041 0.101 0.041 1.097 0.041 118.18168020719928 -27.11817329155111 1.4196
249 1143.86 1371.85 13.331 0.027 2.003 0.037 1.017 0.038 3.551 0.037 118.56890657779567 -27.035314947067352 0.3350
283 2417.25 3633.06 14.28 0.034 0.5 0.04 0.011 0.028 1.071 0.051 118.39370261107636 -26.76326095592819 0.3607
308 493.838 3054.38 14.662 0.17 -0.29 0.183 1.698 0.04 "" "" 118.65517794977917 -26.831293547064092 2.2006
423 287.33 4082.28 14.855 0.041 0.208 0.053 0.158 0.063 "" "" 118.68203551440521 -26.70684148563697 1.4555
473 3842.28 3036.88 15.947 0.109 -0.035 0.222 "" "" 3.063 0.107 118.20112228373178 -26.836742338728598 0.6817
498 4015.26 122.905 14.325 0.031 1.005 0.038 1.541 0.041 1.793 0.046 118.18091516719244 -27.189138617689885 1.6550
2068 906.965 4043.82 16.64 0.094 0.532 0.165 0.058 0.157 "" "" 118.59805101309674 -26.712107172122682 2.7597
617 3586.93 596.4 15.041 0.031 0.417 0.036 0.275 0.039 1.069 0.036 118.23847194779003 -27.13147892329807 1.0068
678 3649.49 1255.3 15.102 0.014 0.631 0.021 0.093 0.023 1.066 0.038 118.22925336014517 -27.05189726733665 0.8397
701 2889.31 2450.31 15.188 0.021 0.558 0.024 0.062 0.021 1.109 0.028 118.33100682201547 -26.90669473653133 4.3238
908 63.898 4082.16 14.791 0.093 1.479 0.108 1.37 0.091 2.167 0.107 118.71233479244944 -26.706633555890207 1.3816
1060 3983.37 3386.69 15.699 0.014 0.447 0.021 -0.075 0.027 0.866 0.026 118.18159917629528 -26.794599834139206 0.7191
1126 3760.42 3774.22 15.615 0.018 0.683 0.025 0.254 0.025 1.321 0.027 118.21140069452326 -26.74753554395651 0.2640
4914 4077.87 3187.47 17.522 0.095 0.058 0.149 "" "" 1.21 0.097 118.1690064459505 -26.81877444815512 0.6061
1154 3901.49 3142.44 15.79 0.019 0.431 0.028 -0.059 0.03 0.94 0.029 118.19297519511332 -26.824041815676516 0.4168
2506 3357.19 3860.0 18.19 0.145 0.486 0.246 -0.412 0.244 3.404 0.142 118.26598618615607 -26.736765534622638 1.2760
